item_name,url,thumbnail_url,price
"Amcrest UltraHD 4K (8MP) Outdoor Bullet POE IP Camera, 3840x2160, 98ft NightVision, 2.8mm Lens, IP67 Weatherproof, MicroSD Recording, White (IP8M-2496EW-V2)",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A033234712S42KDVJZWLG&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FAmcrest-3840x2160-NightVision-Weatherproof-IP8M-2496EW-28MM%2Fdp%2FB07V1WKRBB%3Fref%3Ddlx_deals_gd_dcl_img_18_2ee6f741_dt_sl15_bd,https://m.media-amazon.com/images/I/31X8amJOtTL.jpg,84.99
Save on Quest 2 accessories from Oculus,https://www.amazon.com/stores/page/preview?isSlp=1&isPreview=1&asins=B081SHD773%2CB08F5VCNCY%2CB08F5TZW2J%2CB09CZ4QV5S%2CB08F5T3F9Y%2CB09BC2W75B%2C&ref=dlx_deals_gd_dcl_img_19_3cd3118d_dt_sl15_bd,https://m.media-amazon.com/images/I/31PQSkTsElL.jpg,39.00
"ALORAIR Storm LGR Extreme Smart WiFi Commercial Dehumidifier with Pump, 180 PPD at AHAM, 5 Years Warranty, cETL Listed, Memory Starting, for Damage Restoration, Crawlspace and Basement Drying, Red",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A029378132BHLN1PSL5FY&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FAlorAir-Commercial-Dehumidifier-Restoration-Crawlspace%2Fdp%2FB086D9J59H%3Fref%3Ddlx_deals_gd_dcl_img_20_62c492ec_dt_sl15_bd,https://m.media-amazon.com/images/I/51x9cM5eVvL.jpg,823.74
Up to 38% off on Medify Air Purifiers,https://www.amazon.com/deal/bef7130c?showVariations=true&ref=dlx_deals_gd_dcl_img_21_bef7130c_dt_sl15_bd,https://m.media-amazon.com/images/I/41K5qjtiCbL.jpg,59.99
Up to 43% off select Motorola smartphones,https://www.amazon.com/deal/bc883746?showVariations=true&ref=dlx_deals_gd_dcl_img_22_bc883746_dt_sl15_bd,https://m.media-amazon.com/images/I/71MiNDiFz1L.jpg,119.99
"Disposable Gloves, 100Pcs Vinyl Gloves Non Sterile, Powder Free, Latex Free - Cleaning Supplies, Kitchen and Food Safe, Medium (Pack of 100)",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A0666124MZ6SHK4654E9&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FDisposable-Gloves-100Pcs-Sterile-Powder%2Fdp%2FB08778R2R1%3Fref%3Ddlx_deals_gd_dcl_img_23_d66bf767_dt_sl15_bd,https://m.media-amazon.com/images/I/411PAxV9GML.jpg,16.99
Save on DEWALT 20V Batteries & Tools,https://www.amazon.com/deal/1c339eaf?showVariations=true&ref=dlx_deals_gd_dcl_img_24_1c339eaf_dt_sl15_bd,https://m.media-amazon.com/images/I/41YsUGtIOtS.jpg,97.99
Up to 36% off select Garmin watches and Navigation products,https://www.amazon.com/deal/1ce98799?showVariations=true&ref=dlx_deals_gd_dcl_img_25_1ce98799_dt_sl15_bd,https://m.media-amazon.com/images/I/41ZytXNmabL.jpg,129.99
Up to 70% off select Christmas Trees,https://www.amazon.com/deal/2c4ca694?showVariations=true&ref=dlx_deals_gd_dcl_img_26_2c4ca694_dt_sl15_bd,https://m.media-amazon.com/images/I/51V1usUcSpL.jpg,16.98
"LEVOIT Air Purifiers for Home Large Room, Smart WiFi and PM2.5 Monitor, H13 True HEPA Filter Removes Up to 99.99% of Particles, Pet Allergies, Smoke, Dust, Auto Mode, Alexa Control, 403 sq.ft, White",https://www.amazon.com/LEVOIT-Purifier-Allergies-Core-400S/dp/B08R794ZMX?ref=dlx_deals_gd_dcl_img_27_d74d4437_dt_sl15_bd,https://m.media-amazon.com/images/I/41kjwDdlFTL.jpg,175.99
